G0 [J/m^2],7.52548E-06
THETA [°], GI/G0 [-], GII/G0 [-], G/G0 [-]
10.,1.39E-01,3.76E-02,1.76E-01
20.,1.93E-01,1.47E-01,3.40E-01
30.,1.64E-01,3.02E-01,4.66E-01
40.,9.80E-02,4.86E-01,5.84E-01
50.,3.05E-02,6.16E-01,6.47E-01
60.,1.27E-03,6.66E-01,6.67E-01
70.,-4.79E-05,6.44E-01,6.44E-01
80.,6.85E-05,5.79E-01,5.79E-01
90.,1.12E-04,4.70E-01,4.70E-01
100.,1.12E-04,3.37E-01,3.37E-01
110.,8.95E-04,2.08E-01,2.09E-01
120.,6.07E-03,1.05E-01,1.11E-01
130.,2.29E-03,3.89E-02,4.12E-02
140.,5.52E-04,7.92E-03,8.47E-03
150.,3.06E-04,1.65E-04,4.71E-04
